id,cuisine,ingredients
1,Chinese,ham mushroom fish ginger scallion sherry
2,English_Scottish,butter cane_molasses wheat plum milk cocoa egg vanilla
3,Mexican,tomato vinegar pork onion cayenne corn lime_juice seed garlic vegetable_oil coriander avocado
4,American,vanilla orange_juice
5,Asian,starch radish chicken_broth ginger carrot garlic vegetable_oil cabbage shiitake wine
6,American,tomato lemon_juice wheat thyme cauliflower fish bacon rice vegetable_oil tarragon bread cream
7,Italian,tomato olive_oil grape_juice meat onion red_wine parmesan_cheese celery carrot garlic oregano basil macaroni milk cream
8,MiddleEastern,butter olive_oil pork onion apricot almond pear honey beef_broth
9,English_Scottish,butter egg seed wheat milk
10,African,olive_oil cilantro lemon black_pepper cumin chickpea cod
11,American,butter turkey onion thyme sage black_pepper parsley celery rosemary bread
12,American,vinegar mustard onion olive_oil almond cider seed goat_cheese
13,MiddleEastern,olive_oil cilantro cayenne black_pepper parsley cumin garlic
14,American,egg vanilla rhubarb wheat cream
15,American,butter lemon_juice wheat apple starch egg vanilla honey cinnamon lemon_peel
16,Asian,cane_molasses kiwi sesame_oil beef sake soy_sauce black_pepper garlic wine
17,Italian,tomato olive_oil meat thyme feta_cheese parmesan_cheese garlic bell_pepper basil macaroni cinnamon
18,Italian,egg cream
19,American,tomato olive_oil ham onion vinegar red_wine carrot garlic oregano swiss_cheese basil egg
20,American,olive_oil grape_juice black_pepper potato
21,MiddleEastern,cane_molasses olive_oil lemon_juice cayenne cumin walnut garlic bell_pepper bread
22,French,butter olive_oil wheat onion fish milk_fat bell_pepper rosemary milk
23,American,lemon_juice cayenne peach raspberry
24,American,peach plum lime_juice honey pineapple yogurt mint
25,American,cane_molasses butter cinnamon wheat peach ginger blueberry pecan blackberry raspberry milk cream
26,American,olive_oil thyme onion chicken_broth black_pepper squash cumin vegetable bread
27,Thai,tomato cilantro cayenne fish lime_juice scallion cucumber basil vegetable_oil chicken rice mint
28,EasternEuropean_Russian,butter cheese vanilla raisin brandy egg cream
29,Southwestern,coconut onion chicken_broth cayenne cilantro white_wine celery carrot garlic vegetable_oil mussel mint
30,Southern_SoulFood,wheat thyme black_pepper garlic bell_pepper egg milk
31,Asian,coriander fenugreek pepper mustard potato cumin parsley cucumber seaweed yogurt vegetable_oil turmeric smoked_salmon
32,Central_SouthAmerican,pork beef potato corn_grit bacon black_pepper squash cured_pork bean carrot bell_pepper fennel pork_sausage
33,American,tomato vinegar pepper wheat beef tarragon olive_oil vanilla cayenne cumin turkey bone_oil veal butter basil garlic coriander corn
34,French,wheat vanilla cocoa cinnamon egg nut cream
35,Jewish,olive_oil lemon onion black_pepper cinnamon wheat egg
36,Asian,coconut mango lime_juice sesame_seed
37,American,butter cane_molasses wheat vanilla yam mace cinnamon sweet_potato lard vegetable egg cream
38,American,onion potato bacon corn tabasco_pepper bay celery vegetable milk
39,American,butter yogurt honey walnut cream
40,Jewish,lemon_juice wheat apple potato black_pepper parsnip chive vegetable_oil egg cream
41,Italian,olive_oil lemon_juice fish parsley chive basil
42,Mediterranean,lamb olive_oil lemon_juice dill chicken_broth macaroni rice egg zucchini
43,Italian,olive_oil wheat onion vinegar fish raisin white_wine olive mint
44,American,lemon_juice corn milk milk_fat egg vanilla cream
45,Greek,lamb olive_oil lemon potato black_pepper artichoke rosemary
46,Southern_SoulFood,wheat sesame_oil scallion garlic sesame_seed egg cream
47,American,champagne_wine vinegar rosemary onion
48,Central_SouthAmerican,olive_oil cilantro chayote onion lime_juice parsley celery palm garlic
49,American,butter olive_oil wheat onion yeast egg chicken_broth raisin parmesan_cheese milk celery garlic bell_pepper oregano basil vegetable_oil rosemary nut bread
50,American,cilantro mustard lime_juice tabasco_pepper garlic vegetable_oil egg
51,Southern_SoulFood,thyme corn_grit corn tabasco_pepper scallion shallot vegetable_oil
52,American,olive_oil cilantro grape_juice lemon black_bean corn avocado scallion seed garlic chive macaroni whole_grain_wheat_flour
53,Italian,celery lemon_juice olive_oil black_pepper chicory fennel cheese
54,American,olive_oil cilantro cayenne black_pepper pork mango garlic anise_seed lime_juice
55,American,butter milk_fat milk tarragon parsley
56,Jewish,butter wheat peach starch vanilla brandy raspberry egg
57,French,butter porcini garlic
58,Southwestern,vegetable_oil cheddar_cheese cayenne cumin bread
59,American,brassica pepper turnip ham vinegar
60,American,turkey butter tarragon mushroom shallot shiitake sherry chicken_broth oyster
61,American,olive_oil pork apple shallot chicken_broth white_wine cranberry kumquat rosemary
62,American,tomato cheese olive_oil cayenne black_pepper parmesan_cheese garlic basil
63,Cajun_Creole,butter olive_oil pepper clam onion mushroom fish shrimp macaroni tomato mussel garlic scallion pork_sausage wine
64,Mediterranean,tomato olive_oil romano_cheese fish basil garlic bell_pepper olive macaroni
65,American,cardamom strawberry egg cream
66,French,wheat plum raisin cognac sherry egg milk
67,American,butter apple cumin honey carrot cinnamon mint leek
68,Asian,mushroom soy_sauce white_wine garlic bell_pepper vegetable_oil shrimp pea brown_rice
69,American,tomato vinegar pork mustard onion cayenne black_pepper cumin beer coffee bell_pepper pepper cane_molasses
